AA_ELEICAO,NR_TURNO,SG_UF,NM_MUNICIPIO,NR_ZONA,DS_GENERO,DS_ESTADO_CIVIL,DS_FAIXA_ETARIA,DS_GRAU_ESCOLARIDADE,TP_CONVOCACAO,TP_COMPARECIMENTO,QT_MESARIOS_PERFIL
2020,1,PA,BELÉM,95,FEMININO,SOLTEIRO,35 a 39 anos,ENSINO MÉDIO INCOMPLETO,Voluntárias e voluntários,Comparecimentos,3
2020,2,PA,BELÉM,95,MASCULINO,SOLTEIRO,30 a 34 anos,ENSINO MÉDIO INCOMPLETO,Voluntárias e voluntários,Comparecimentos,3
2020,1,PA,BELÉM,98,FEMININO,SOLTEIRO,50 a 54 anos,ENSINO MÉDIO COMPLETO,Voluntárias e voluntários,Comparecimentos,4
2020,1,PA,BELÉM,95,FEMININO,CASADO,55 a 59 anos,SUPERIOR COMPLETO,Voluntárias e voluntários,Comparecimentos,14
2020,1,PA,BELÉM,98,FEMININO,SOLTEIRO,30 a 34 anos,SUPERIOR INCOMPLETO,Voluntárias e voluntários,Comparecimentos,5
2020,1,PA,BELÉM,95,FEMININO,SOLTEIRO,45 a 49 anos,SUPERIOR COMPLETO,Voluntárias e voluntários,Ausências,2
2020,1,PA,BELÉM,98,FEMININO,DIVORCIADO,50 a 54 anos,SUPERIOR COMPLETO,Não voluntárias e não voluntários,Comparecimentos,1
2020,2,PA,BELÉM,95,FEMININO,DIVORCIADO,65 a 69 anos,SUPERIOR COMPLETO,Não voluntárias e não voluntários,Comparecimentos,1
2020,1,PA,BELÉM,98,MASCULINO,SOLTEIRO,21 a 24 anos,SUPERIOR INCOMPLETO,Não voluntárias e não voluntários,Comparecimentos,5
2020,2,PA,BELÉM,95,MASCULINO,CASADO,30 a 34 anos,SUPERIOR INCOMPLETO,Voluntárias e voluntários,Ausências,1
2020,2,PA,BELÉM,95,MASCULINO,SOLTEIRO,25 a 29 anos,SUPERIOR COMPLETO,Não voluntárias e não voluntários,Comparecimentos,2
2020,1,PA,BELÉM,95,FEMININO,VIÚVO,50 a 54 anos,SUPERIOR COMPLETO,Voluntárias e voluntários,Comparecimentos,1
2020,2,PA,BELÉM,98,MASCULINO,CASADO,40 a 44 anos,ENSINO MÉDIO INCOMPLETO,Não voluntárias e não voluntários,Comparecimentos,1
2020,2,PA,BELÉM,98,MASCULINO,SOLTEIRO,40 a 44 anos,ENSINO MÉDIO COMPLETO,Não voluntárias e não voluntários,Comparecimentos,4
2020,1,PA,BELÉM,98,FEMININO,CASADO,25 a 29 anos,SUPERIOR INCOMPLETO,Voluntárias e voluntários,Ausências,1
2020,2,PA,BELÉM,98,MASCULINO,CASADO,30 a 34 anos,SUPERIOR INCOMPLETO,Não voluntárias e não voluntários,Comparecimentos,1
2020,1,PA,BELÉM,98,FEMININO,SOLTEIRO,60 a 64 anos,SUPERIOR COMPLETO,Voluntárias e voluntários,Comparecimentos,1
2020,1,PA,BELÉM,95,MASCULINO,SOLTEIRO,25 a 29 anos,SUPERIOR INCOMPLETO,Voluntárias e voluntários,Ausências,2
2020,2,PA,BELÉM,98,FEMININO,DIVORCIADO,35 a 39 anos,ENSINO MÉDIO COMPLETO,Voluntárias e voluntários,Comparecimentos,1
2020,1,PA,BELÉM,98,FEMININO,CASADO,35 a 39 anos,SUPERIOR INCOMPLETO,Voluntárias e voluntários,Comparecimentos,3
2020,1,PA,BELÉM,98,MASCULINO,DIVORCIADO,45 a 49 anos,SUPERIOR COMPLETO,Voluntárias e voluntários,Comparecimentos,1
2020,2,PA,BELÉM,98,MASCULINO,SOLTEIRO,35 a 39 anos,SUPERIOR COMPLETO,Voluntárias e voluntários,Ausências,1
2020,2,PA,BELÉM,95,FEMININO,CASADO,50 a 54 anos,SUPERIOR INCOMPLETO,Não voluntárias e não voluntários,Comparecimentos,1
2020,2,PA,BELÉM,98,FEMININO,SOLTEIRO,20 anos,ENSINO MÉDIO INCOMPLETO,Voluntárias e voluntários,Comparecimentos,2
2020,1,PA,BELÉM,98,FEMININO,DIVORCIADO,55 a 59 anos,SUPERIOR COMPLETO,Voluntárias e voluntários,Comparecimentos,2
2020,2,PA,BELÉM,98,MASCULINO,DIVORCIADO,40 a 44 anos,SUPERIOR COMPLETO,Voluntárias e voluntários,Comparecimentos,2
2020,1,PA,BELÉM,98,FEMININO,SOLTEIRO,60 a 64 anos,SUPERIOR COMPLETO,Não voluntárias e não voluntários,Comparecimentos,1
2020,1,PA,BELÉM,98,MASCULINO,CASADO,40 a 44 anos,SUPERIOR COMPLETO,Não voluntárias e não voluntários,Ausências,1
2020,1,PA,BELÉM,98,MASCULINO,CASADO,50 a 54 anos,SUPERIOR INCOMPLETO,Voluntárias e voluntários,Comparecimentos,1
